Longtitude,Latitude,Elevation(meter),Accumulation(millimeter),Temperature minimum(degree C),Temperature minimum(degree C),Accumulation(Spring seasonal mean),Temperature minimum(Spring seasonal mean),Temperature minimum(Spring seasonal mean)
-109.1,36.9,1580,0,33,17.4,1.8,20.56666667,4.7
-103.15,40.15,1385,2.9,32.5,13.6,8.3,16,-1.2
-103.17,40.12,1398,NA,NA,NA,NA,NA,NA
-105.88,37.47,2297,NA,NA,NA,NA,NA,NA
-105.85,37.43,2298,2.3,27.2,6.7,1.8,14.83333333,-4.733333333
-105.53,40.2,2590,NA,NA,NA,NA,NA,NA
-105.88,39,2724,3.9,NA,NA,NA,10.33333333,-7.6
-105.27,40.03,1638,NA,NA,NA,NA,NA,NA
-106.83,39.18,2413,NA,25.2,7.8,NA,11.2,-3.6
-105.48,39.4,2358,4.3,26.3,6.6,11.5,12.43333333,-4.5
-105.78,39.8,3448,NA,NA,NA,NA,NA,NA
-105.52,37.43,2361,3,27.4,8.6,5.4,14.53333333,-3.1
-106.68,39.88,2044,NA,NA,NA,NA,NA,NA
-102.18,39.62,1113,7.9,32.4,15.8,9.1,17.2,0.3
-105.27,40,1672,2.9,29.6,13.5,22.6,16.4,0.966666667
-103.88,37.02,1918,NA,NA,NA,NA,NA,NA
-104.33,40.65,1488,7.1,31.9,13.6,6.3,16.9,-1.233333333
-104.83,39.98,1519,7,NA,NA,NA,16.63333333,-0.033333333
-108.92,40.8,1632,0.5,32.1,4.6,6.1,NA,NA
-106.13,38.83,2434,2.4,NA,NA,7.6,NA,NA
-102.27,39.3,1272,6.5,33.1,15.1,5.1,16.96666667,-0.166666667
-104.22,39.7,1586,10,NA,NA,8.4,NA,NA
-105.7,39.65,3056,5.1,20.2,2.4,16.9,6.8,-9.8
-104.33,39.05,1986,NA,NA,NA,NA,NA,NA
-105.23,38.42,1625,8,31.7,14.1,11.3,18.5,0.966666667
-104.87,39.37,1894,3,29.9,12.1,9.5,15.06666667,-1.466666667
-107.93,38.9,1885,NA,NA,NA,NA,NA,NA
-106.12,37.75,2339,1.8,25.7,7.6,1.7,14.26666667,-2.9
-105.28,39.22,2097,3.6,29.4,3.8,10.9,14.93333333,-8.1
-104.85,39.65,1721,16.1,33.8,12.5,9.1,17.7,-1.766666667
-102.35,38.82,1295,10.7,32.3,15.2,5.3,16.2,0.4
-107.52,38.4,2208,1.7,NA,NA,NA,NA,NA
-106.2,39.38,3445,2.8,NA,NA,18.2,NA,NA
-106.77,38.43,2438,2.6,26.8,5.3,7.1,12.3,-6.233333333
-107.97,39.25,1823,1.8,29.7,10.6,16.7,16.53333333,-0.366666667
-108.73,39.1,1763,3.3,32.8,13.4,12,NA,NA
-104.83,38.85,1861,NA,NA,NA,NA,NA,NA
-104.7,38.82,1881,11.8,29.7,13.1,12.2,14.56666667,-0.5
-106.03,37.13,2410,NA,NA,NA,NA,NA,NA
-108.57,37.35,1885,3.1,NA,NA,NA,NA,NA
-107.6,40.45,1963,3.9,NA,NA,16.1,NA,NA
-106.97,38.87,2705,2,23.2,3.5,16.9,7.666666667,-8
-105.68,37.98,2474,7.2,28.4,9.7,5.2,15.13333333,-1.6
-105.18,38.75,2901,NA,NA,NA,NA,NA,NA
-104.02,37.63,1552,NA,NA,NA,NA,NA,NA
-106.35,37.67,2402,3.8,25.5,8.3,4.4,13.96666667,-2.666666667
-108.07,38.75,1562,0.8,NA,NA,6.7,19.1,1.233333333
-104.88,39.77,1615,15.6,31.4,14.8,12.1,16.63333333,1.066666667
-105,39.75,1611,NA,NA,NA,NA,NA,NA
-106.03,39.63,2763,3.1,22.7,3.1,12.4,8.866666667,-7.8
-108.97,40.23,1805,1.4,31.2,13,10.5,15.13333333,-0.033333333
-107.88,37.28,2012,5.6,29.9,9.8,9.3,17.96666667,-1.333333333
-102.78,38.48,1284,4.3,33.6,15,6.7,18.2,-0.366666667
-106.83,39.67,1982,NA,NA,NA,NA,NA,NA
-105.08,39.75,1662,NA,30.7,12.8,NA,17.1,0.1
-104.55,39.22,2071,NA,NA,NA,NA,NA,NA
-105.52,40.38,2364,NA,NA,NA,NA,NA,NA
-105.32,39.63,2135,4.9,27.5,6.9,16,14.1,-3.9
-102.07,37.03,1092,NA,NA,NA,NA,NA,NA
-105.13,38.38,1583,NA,NA,NA,NA,NA,NA
-103.68,38.55,1446,NA,NA,NA,NA,NA,NA
-104.77,38.68,1789,2.3,31.8,14.4,13,NA,NA
-105.08,40.58,1525,17,29.9,13.4,12.3,16.56666667,0.5
-108.05,37.23,2321,8.8,28.3,9.1,9.7,14.53333333,-2.4
-104.72,40.08,1495,NA,NA,NA,NA,NA,NA
-103.8,40.22,1320,7.9,32.9,15.5,9.5,17.4,0.533333333
-105.83,39.95,2610,NA,NA,NA,NA,NA,NA
-108.75,39.17,1366,0.7,33.2,12.6,8.7,19.26666667,-0.433333333
-105.7,39.7,2614,2.8,24.9,7.8,17.1,10.8,-3.666666667
-107.32,39.52,1800,4.5,30.6,11.1,12.6,17.33333333,0.2
-108.53,39.12,1479,0.7,NA,NA,10.7,NA,NA
-108.58,39.07,1409,5.3,NA,NA,NA,NA,NA
-105.83,40.27,2556,5.6,25.2,4.3,18.9,10.8,-6.3
-105.85,40.25,2556,5.7,23.9,5.1,12.3,9.133333333,-7.2
-108.05,39.45,1552,NA,NA,NA,NA,NA,NA
-105.68,39.47,2650,3.7,24.9,6.4,11.2,10.63333333,-4.7
-105.53,37.72,2475,5.4,26.4,10.1,10.1,13,-1.5
-104.68,40.42,1418,NA,NA,NA,NA,NA,NA
-104.7,40.42,1418,5.8,32.4,14.9,9.1,17.86666667,1.6
-106.33,39.88,2367,2.3,25.6,5.7,16.2,10.3,-5.033333333
-108.67,40.62,2074,NA,NA,NA,NA,NA,NA
-104.42,40.87,1549,NA,NA,NA,NA,NA,NA
-106.97,38.53,2329,1.8,26.6,4.9,4.4,11.93333333,-6.233333333
-107.25,40.48,1943,3.9,NA,NA,NA,NA,NA
-107.13,37.77,2743,4.7,23.9,3.7,4,11.86666667,-8.4
-106,40.97,2365,2.6,26.2,4.6,10.3,10.6,-5.833333333
-102.12,38.05,1033,2.7,35.1,15.7,8.6,19.26666667,-0.333333333
-102.3,40.58,1137,3.4,30.4,16.4,8.3,16.1,0.733333333
-106.13,40.05,2318,NA,NA,NA,NA,NA,NA
-105.52,39.75,2306,NA,NA,NA,NA,NA,NA
-107.63,37.13,1958,NA,NA,NA,NA,NA,NA
-102.68,39.65,1302,8.7,33.1,14.2,11.1,17.6,-0.633333333
-102.93,38.07,1162,4.9,NA,NA,5.5,NA,NA
-105.85,39.77,3148,NA,NA,NA,NA,NA,NA
-102.25,41,1058,4.2,31.8,16.1,7.6,18.36666667,0.4
-105.1,39.5,1677,4,32,12.2,13.3,16.9,-1.5
-103.9,40.85,1601,NA,NA,NA,NA,NA,NA
-102.78,38.77,1305,7.7,32.7,14.9,5,17.46666667,-0.466666667
-106.4,40.07,2233,1.8,26.8,5.6,8.2,10.96666667,-4.433333333
-103.52,38.05,1279,NA,NA,NA,NA,NA,NA
-103.48,37.72,1292,7.4,36.6,17.3,5.7,20.93333333,2.5
-107.32,38.05,2711,4.6,22.6,7.4,6.5,12.16666667,-3.9
-105.48,38.92,2593,5.9,24.6,7.5,3,11.03333333,-5.566666667
-104.98,38.82,3132,NA,NA,NA,NA,NA,NA
-105.13,39.75,1718,4.2,NA,NA,NA,15.76666667,-0.166666667
-102.62,38.08,1106,4.2,34.7,16.9,5.5,20.16666667,2.166666667
-103.22,38.07,1186,5.5,35.9,16.6,5.5,21.2,1.666666667
-106.3,39.25,3103,NA,NA,NA,NA,NA,NA
-106.32,39.23,3032,2.8,21.9,2.9,11.3,7.7,-7.633333333
-107.65,37.38,2464,10.2,25.5,7.3,12.3,13,-4.666666667
-103.02,40.48,1339,18.5,31.7,14.8,7.8,16.3,-0.3
-103.73,39.2,1635,NA,NA,NA,NA,NA,NA
-103.68,39.27,1636,NA,NA,NA,NA,NA,NA
-103.7,39.18,1695,NA,NA,NA,NA,NA,NA
-108.2,40,1871,NA,NA,NA,NA,NA,NA
-105.02,39.62,1620,NA,NA,NA,NA,NA,NA
-103.48,38.93,1601,NA,NA,NA,NA,NA,NA
-105.07,40.17,1510,1.4,31.7,11.4,14,17.16666667,-2.033333333
-105.57,40.28,2745,NA,NA,NA,NA,NA,NA
-105.95,37.17,2344,0.9,26.5,7.5,3.5,15.13333333,-3.466666667
-107.55,40.02,2217,NA,NA,NA,NA,NA,NA
-107.47,40.03,2377,8.3,NA,NA,18.9,NA,NA
-108.08,40.52,1806,1.5,NA,NA,9.7,NA,NA
-107.9,40.03,1903,6.3,NA,NA,15.4,NA,NA
-107.92,40.03,1937,NA,NA,NA,NA,NA,NA
-108,40.13,1983,NA,NA,NA,NA,NA,NA
-106.75,39.37,2379,1.6,27.9,2.9,10,10.16666667,-6.833333333
-108.5,37.2,2123,4.1,28.2,12.2,10.5,14.83333333,0.266666667
-106.15,37.57,2339,2.6,26.4,7.6,4,14.26666667,-3.266666667
-104.92,39.08,2239,NA,NA,NA,NA,NA,NA
-105.6,39.65,3240,5.7,18.8,4.5,24.6,4.333333333,-7
-105.5,39.98,2512,NA,NA,NA,NA,NA,NA
-109.03,37.82,1976,3.8,NA,NA,NA,NA,NA
-105.02,39.9,1635,7.4,32,14.4,12.1,17.26666667,1.233333333
-105.05,37.22,2684,NA,NA,NA,NA,NA,NA
-108.28,38.13,2139,2.6,27.2,10.3,12.5,15.06666667,-1
-104.78,40.7,1580,NA,NA,NA,NA,NA,NA
-103.75,38.22,1315,2.1,36.3,15.3,5.7,20.16666667,0.166666667
-103.7,38.52,1453,11.1,34.4,14.4,5.8,18.5,-0.066666667
-107.68,38.02,2355,2.9,24.2,10.4,17.8,11.13333333,-1.066666667
-107.02,37.27,2169,9.5,25.9,6.1,14.1,14.8,-4.566666667
-108.35,39.1,1440,2,32.2,17.7,13.9,18.53333333,4.933333333
-107.18,37.45,2406,NA,NA,NA,NA,NA,NA
-104.92,39.12,2220,NA,NA,NA,NA,NA,NA
-107.58,38.87,1733,3.3,32.7,13.1,12.1,18.43333333,1.966666667
-107.58,38.85,1884,NA,NA,NA,NA,NA,NA
-108.95,38.37,1610,NA,NA,NA,NA,NA,NA
-108.98,38.38,1686,NA,NA,NA,NA,NA,NA
-104.65,39.52,1922,10,30,14.7,8.4,16.53333333,0.333333333
-106.53,38.6,2804,NA,NA,NA,NA,NA,NA
-104.5,38.28,1415,2,34.2,13.6,7.8,19.13333333,-1
-104.72,38.27,1480,2.7,34.9,14.8,7.3,19.53333333,0.9
-104.65,38.18,1498,NA,NA,NA,NA,NA,NA
-108.8,40.08,1610,0.6,31.1,12.9,8.3,15.56666667,-0.033333333
-105.6,40.8,2550,NA,NA,NA,NA,NA,NA
-107.3,39.2,2461,NA,NA,NA,NA,NA,NA
-105.32,37.72,2408,NA,NA,NA,NA,NA,NA
-108.03,37.68,2690,4.3,NA,NA,NA,NA,NA
-107.75,38.15,2133,3.7,NA,NA,12.8,NA,NA
-107.78,39.52,1616,NA,NA,NA,NA,NA,NA
-107.27,37.72,2898,8.5,22,4.6,9.2,NA,NA
-103.7,38.03,1271,4.6,34.7,14.8,5.8,20.86666667,0.9
-104.08,38.87,1833,8.2,28.3,10.8,NA,NA,NA
-104.98,38.85,2758,12.9,23.5,3.9,39.6,5.033333333,NA
-104.93,37.92,2071,NA,NA,NA,NA,NA,NA
-106.13,38.08,2345,3.6,28.7,10.1,4.1,16,-1.966666667
-106.02,38.53,2182,4.4,28.8,8.5,5.4,14.96666667,-2.233333333
-106.05,38.53,2282,NA,NA,NA,NA,NA,NA
-107.47,38.47,2837,NA,NA,NA,NA,NA,NA
-102.52,40.93,1092,5.5,NA,NA,NA,NA,NA
-102.52,40.85,1216,5.3,33,15.6,7.8,17.53333333,0.7
-103.35,39.55,1579,NA,NA,NA,NA,NA,NA
-107.67,37.8,2873,7.6,22.3,4.2,11.9,9.066666667,-7.866666667
-106.42,40.48,2532,2.5,23.8,3.7,14.7,8.566666667,-5.3
-102.7,37.38,1396,5.4,34.8,15.1,7.3,20.2,1.3
-102.62,37.28,1373,NA,NA,NA,NA,NA,NA
-107.27,37.22,2031,NA,NA,NA,NA,NA,NA
-106.83,40.5,2085,2.3,28.3,4.9,20.4,12,-5.166666667
-103.2,40.62,1202,6.4,32.5,15.6,11.7,17.2,0.266666667
-102.58,39.3,1342,23.1,32.8,15.3,9.8,17.53333333,0.366666667
-105.12,39.43,1780,5.5,29.8,6.3,17,15.43333333,-7.066666667
-106.37,39.25,3049,3.7,NA,NA,NA,NA,NA
-108.27,40.5,1787,NA,NA,NA,NA,NA,NA
-104.12,38.42,1525,2.7,34.5,14,8.1,19.86666667,-0.066666667
-106.62,38.82,2809,1.9,20.9,4.6,13.3,7.366666667,-10.1
-107.87,37.95,2643,7.5,24,4,14.7,12.26666667,-5
-103.92,37.67,1472,NA,NA,NA,NA,NA,NA
-104.48,37.17,1838,4.3,30.2,14.4,7.9,17.53333333,0.666666667
-104.33,37.25,1753,5.4,32,14.2,6.6,18.8,0.3
-106.32,39.08,2837,1.5,22.8,6,7.7,8.7,-5.666666667
-102.38,37.55,1238,NA,NA,NA,NA,NA,NA
-108.73,38.37,1531,3,34.2,13.1,11,20.06666667,1.766666667
-107.58,37.37,2332,10.4,NA,NA,NA,NA,NA
-106.83,37.8,2593,NA,NA,NA,NA,NA,NA
-106.27,40.73,2471,2.9,25.6,3.9,9.3,10.06666667,-5.666666667
-104.8,37.62,1897,4.3,29.6,13.8,11.1,18.1,1.166666667
-102.28,37.4,1214,4.3,34.8,16.8,10.2,19.33333333,2.1
-105.2,40.42,1586,8.6,30.8,12.1,17.7,16.1,-0.366666667
-105.48,38.13,2396,4.1,NA,NA,9.4,NA,NA
-105.08,38.17,1920,NA,NA,NA,NA,NA,NA
-106.22,40.03,2332,0.7,26.4,5.2,14.1,11.13333333,-6.2
-107.27,40.3,2211,NA,NA,NA,NA,NA,NA
-106.78,37.48,3243,13.8,17.9,4.5,24.9,5.2,-7.333333333
-106.87,37.48,2876,NA,NA,NA,NA,NA,NA
-102.23,40.07,1077,10.2,33.7,15.3,11.1,18.23333333,0.466666667
-106.9,40.15,2405,5.2,NA,NA,13.1,NA,NA
-108.73,37.55,2092,6.9,30.6,11.9,7.9,16.4,0.366666667
-102.73,40.12,1260,5,32.9,16.4,6.5,16.8,1.033333333
-105.848,40.399,2753,NA,23.8,3.2,NA,9.133333333,-7.4
-105.82,40.414,3262,2.5,18.2,3.2,34.6,5.366666667,-9.1
-105.733,40.432,3262,NA,NA,NA,NA,NA,NA
-105.59,39.937,2957,NA,NA,NA,NA,NA,NA
-105.761,39.916,2951,2,21.8,7.5,25.9,7.5,-5.533333333
-105.87,39.646,3384,NA,17.9,4.3,NA,4.466666667,-8.5
-105.778,39.804,3445,NA,18.1,4.2,NA,5.4,-9.2
-105.122,37.214,3116,NA,19.7,3.8,NA,9.066666667,NA
-105.341,36.699,3003,NA,NA,NA,NA,NA,NA
-105.25,37,3232,5.3,NA,NA,20,NA,NA
-106.933,41.167,2820,0.5,NA,NA,30.2,NA,NA
-106.233,41.367,3116,7.6,NA,NA,32.5,NA,NA
-106.5,41.333,2573,1.5,NA,NA,23.8,NA,NA
-106.367,41.333,3088,3.6,NA,NA,35.8,NA,NA
-106.9,41,2729,3.3,20.5,4.7,35.1,6.433333333,-7.466666667
-106.283,41.467,3064,4.1,NA,NA,37.1,NA,NA
-106.781,40.534,2561,2.3,23.6,6.1,34.8,10.36666667,-6.066666667
-106.604,40.395,2793,NA,NA,4.9,NA,7.833333333,-7.066666667
-106.094,40.347,2909,2,20.1,0.9,26.7,6.733333333,-9.733333333
-106.67,40.08,2707,3,23.1,2.7,21.6,9.266666667,-7.666666667
-106.969,40.848,2652,2.3,22.9,6.4,27.2,9.266666667,-5.8
-106.677,40.537,3201,1.8,17,5.8,50.6,3.466666667,-8.033333333
-106.06,39.361,3476,NA,17.2,3.8,NA,5.833333333,-8.6
-106.612,39.075,3232,2.3,20.1,2.2,26.2,8.133333333,-9.733333333
-106.608,39.298,2652,2.3,26.3,2.3,17.5,12.66666667,-7.7
-106.197,39.38,3476,NA,16.8,3.1,NA,5.233333333,-9.7
-106.158,39.718,2866,NA,22.3,2.2,NA,9,-9.266666667
-106.171,39.489,3201,NA,20,2.1,NA,7.833333333,-9.466666667
-106.615,39.317,2927,3,22.3,2.6,19.6,9.266666667,-8.566666667
-106.38,39.617,3140,NA,19.8,7.2,NA,7.3,-6
-106.542,39.088,3232,2,19.2,1.2,24.7,7.4,-9.5
-106.59,38.82,2927,1,22.7,2.3,16,10.5,-9.566666667
-106.34,38.489,3280,NA,17.1,2.8,NA,5.033333333,-8.966666667
-106.953,38.894,3098,1.8,22.1,6.6,18.5,7.833333333,-5.6
-106.835,37.486,3088,NA,19.6,2.7,NA,8.933333333,-9.133333333
-106.452,37.019,3055,NA,NA,NA,NA,NA,NA
-106.548,37.379,3354,7.6,18.6,4.2,16.7,8.366666667,NA
-106.657,36.956,2561,11.7,NA,NA,9.9,NA,NA
-106.321,36.512,2835,2.8,NA,NA,15.2,NA,NA
-106.263,36.716,3049,2,NA,NA,16.2,NA,NA
-107.167,41.117,2485,0.3,23.4,6.9,19.8,9.633333333,-5.266666667
-107.267,41.05,2268,1.5,26.4,6.3,NA,11.26666667,-4.533333333
-107.167,41.3,2701,1,19.4,5.2,26.7,6.9,-4.633333333
-107.058,40.167,2774,2.8,21.9,5.3,29,10.5,NA
-107.599,39.875,2866,NA,20.6,6.3,NA,9.433333333,-6.4
-107.874,39.046,3037,NA,19.7,3,NA,7.966666667,-9.466666667
-107.288,39.129,2896,NA,22.1,8.7,NA,9.8,-3.133333333
-107.357,39.765,3317,3.6,17.2,5,37.2,4.9,-8.3
-107.805,37.651,2707,7.6,24.2,4.9,21.8,13.33333333,-5.733333333
-107.689,37.749,3201,7.6,19.3,3.1,20.8,10.36666667,-8.133333333
-107.727,37.847,3061,NA,20.2,3,NA,9.266666667,NA
-107.035,37.62,3430,NA,17.3,2.2,NA,8.433333333,-9.766666667
-107.675,37.934,2988,4.8,21.2,3.6,20.3,10.46666667,-7.5
-107.924,37.799,3110,NA,19.1,2.4,NA,8.6,-8.933333333
-107.204,37.992,3488,NA,17.2,3.9,NA,6.8,-8.333333333
-107.507,37.485,3317,8.9,18.6,7.1,22.6,8.166666667,-5
-107.512,37.714,3537,11.9,16.6,3,23.1,7.533333333,-8.8
-107.713,37.892,3399,NA,17.7,3.3,NA,8.9,-8.5
-108.058,39.058,3049,1.5,19.6,5.6,32.5,9.466666667,NA
-108.382,38.418,2866,3.3,24.3,7.7,36.5,12.83333333,-4.4
-108.195,37.892,2927,3,20.6,3.9,23.4,10.13333333,-7.666666667
-109.267,38.483,3003,2.5,NA,NA,22.4,NA,NA
-109.483,37.8,2622,7.4,21.8,9.2,12.9,11.06666667,-1.266666667
-101.05,39.8,881,4.4,34.1,15.5,7.2,18.23333333,-0.533333333
-101.37,39.35,1040,8.8,34.1,14.8,5.4,17.76666667,-0.966666667
-101.05,39.4,955,NA,NA,NA,NA,NA,NA
-101.07,39.38,967,9.4,33.1,15.8,2.9,17.53333333,0.333333333
-101.9,37,1104,8.6,34.1,17.9,12.9,19.16666667,3.2
-101.7,39.37,1115,7.5,32.1,15.4,6.8,17.4,0.2
-101.33,37.17,946,6.7,34.3,17.8,10,19.9,2.9
-101.75,37.57,997,NA,NA,NA,NA,NA,NA
-101.25,37.93,914,3.7,34.7,17.9,10.1,19.83333333,3.033333333
-101.37,38.48,1007,7.2,32.9,16.3,8.4,17.96666667,0.9
-101.38,39.78,1028,2.6,33.5,15.8,5.5,17.43333333,0.3
-101.77,37.33,1034,3.6,35.9,19.2,9.6,19.2,2.1
-101.18,38.9,903,9.5,33.8,15.8,3.5,19.23333333,-0.7
-101.8,39.77,1025,5.8,33.8,16.8,3.8,18.2,1.433333333
-101.75,38.9,1049,11.8,33.8,17.4,5.6,19.63333333,2.266666667
-101.77,37.98,994,3.9,34.1,17.2,9.6,20.13333333,1.6
-101.77,38.47,1101,13.5,33.9,15.4,7.6,18.36666667,-0.233333333
-101.35,37.58,930,4.7,34.3,17.8,12.2,20.03333333,2.333333333
-101.25,39.07,1010,6.5,32,16.6,4.5,17.73333333,1.133333333
-101.53,40.05,903,3.2,33.4,16.5,8.6,18.2,0.3
-102.08,41.07,1025,6.2,30.2,16.3,7.3,16,-0.166666667
-102.97,41.42,1302,3.4,30.4,14.2,10.4,15.26666667,-0.033333333
-101.52,40.42,939,7.7,32.1,15.1,6.3,17.1,-1.266666667
-101.93,40.02,991,7,NA,NA,NA,NA,NA
-101.63,40.52,999,4.5,31.4,15.9,7.9,15.66666667,-0.333333333
-101.62,40.52,998,NA,NA,NA,NA,NA,NA
-103.67,41.25,1451,9,31.3,13.5,12,15.53333333,-1.066666667
-101.67,41.22,1007,7.7,31.8,16.7,6.6,16,1.066666667
-102.63,41.15,1168,3.6,32.6,15.5,9.9,16.7,-0.433333333
-101.55,40.85,976,8.8,31.6,16,9,15.83333333,-0.2
-101.72,41.13,982,6.2,31.7,16.6,10.7,15.73333333,-0.333333333
-102.33,41.4,1034,10,30.9,15.1,7.5,15.73333333,-2.033333333
-102.98,41.13,1247,6.6,30.6,15.2,12.2,14.26666667,-0.866666667
-103.03,41.13,1262,NA,NA,NA,NA,NA,NA
-101.02,40.18,811,4.3,32.9,16.6,6,17.36666667,0.633333333
-101.17,40.83,939,7.6,31,14.9,8.3,15.66666667,-0.566666667
-108,36.83,1720,6.1,32.3,12.9,7.7,20.43333333,0.6
-107.97,36.67,1766,5.8,32.8,14.3,4.7,20.46666667,2.4
-103.97,36.78,2223,NA,NA,NA,NA,NA,NA
-105.6,36.73,2336,3.4,27,8.2,8.6,15.26666667,-2.433333333
-106.58,36.92,2393,7.6,26.8,5.7,11.3,13.46666667,-4.533333333
-104.78,36.67,1952,NA,NA,NA,NA,NA,NA
-103.83,36.77,2019,NA,NA,NA,NA,NA,NA
-107,36.93,2065,7.3,29.4,7.3,8.6,17.46666667,-2.9
-105.27,36.57,2516,3.3,25.8,5.2,10.5,12.93333333,-5.5
-106.73,36.6,2074,3.8,30.1,8.2,13.1,17,-2.5
-105.28,36.62,2583,NA,NA,NA,NA,NA,NA
-108.23,36.75,1675,NA,NA,NA,NA,NA,NA
-108.2,36.72,1617,NA,NA,NA,NA,NA,NA
-108.25,36.7,1717,3.3,32.2,14.7,9.5,19.46666667,1.8
-103.92,36.87,2013,NA,NA,NA,NA,NA,NA
-108.4,36.73,1577,3.6,32.8,14.4,7.3,21.06666667,2.7
-107.48,36.7,2044,NA,NA,NA,NA,NA,NA
-103.62,36.6,1827,8.4,31,13.1,10.8,18.1,0.266666667
-104.37,36.98,2257,8.2,25.4,8.7,17.5,12.53333333,-3.866666667
-104.58,36.55,1845,4.4,30.4,10.7,5.2,18.1,-1.266666667
-107.62,36.82,1760,7.2,30.9,14.1,8.3,NA,NA
-104.43,36.9,2037,NA,NA,NA,NA,NA,NA
-104.43,36.92,2114,7.2,28.3,13.4,9.5,15.43333333,0.566666667
-104.45,36.88,2025,5.7,29,10.3,7.8,16.93333333,-1.466666667
-104.42,36.87,1979,NA,NA,NA,NA,NA,NA
-104.5,36.75,1946,NA,NA,NA,NA,NA,NA
-105.4,36.7,2644,5.6,23.7,4.8,16.3,11.26666667,-5.233333333
-108.73,36.77,1510,2.6,34.4,14.9,NA,NA,NA
-106.58,36.72,2278,5.5,27.3,6.5,9.7,14.96666667,-4.433333333
-105.97,36.65,2464,3.5,26.5,7.3,NA,NA,NA
-104.95,36.88,2312,NA,NA,NA,NA,NA,NA
-102.48,36.73,1263,5.4,33.3,15.3,15.2,19.6,1.8
-101.62,36.6,1009,5.5,36,18.6,10.6,20.46666667,3.833333333
-101.48,36.68,952,NA,NA,NA,NA,NA,NA
-101.22,36.87,913,8.4,34.5,18.4,13.4,20.93333333,3.633333333
-102.97,36.9,1326,8.5,33.7,16.5,12.3,19.63333333,2.133333333
-109.07,40.85,1673,0.9,NA,NA,9.5,NA,NA
-109.18,37.22,1373,0,NA,NA,2.4,NA,NA
-109.48,37.62,1841,7.5,32.4,14.8,8.2,18.83333333,3.2
-109.18,40.02,1665,NA,NA,NA,NA,NA,NA
-109.32,38.6,1806,NA,NA,NA,NA,NA,NA
-109.4,38.65,1432,2.9,32.9,15.9,8,18.83333333,4.066666667
-109.08,37.72,2068,4.6,30,10.7,11,14.96666667,-0.8
-109.32,38.97,1327,NA,NA,NA,NA,NA,NA
-109.3,38.8,1257,0.4,NA,NA,NA,22.53333333,2
-109.42,40.93,1911,1.4,28.6,7.8,9.8,14.03333333,-3.4
-109.07,37.38,1647,5.6,34.1,12.7,5.5,20.66666667,0.233333333
-109.37,40.37,1446,0.9,32,11.4,6.2,17.8,-0.766666667
-109.25,38.32,2129,NA,NA,NA,NA,NA,NA
-109.22,38.3,2048,2.3,NA,NA,NA,15.6,-0.233333333
-109.33,37.87,2156,2.5,28.3,10.8,10.6,14.33333333,-0.2
-104.1,41.42,1629,3.5,29.7,12.8,17.7,14.73333333,-0.8
-104.65,41.15,1833,9.6,29.1,10,15.3,13.3,-3.3
-107.65,41.03,1903,2,29.1,7.9,11.1,13.13333333,NA
-104.32,41.05,1644,5.5,30.1,12.1,11.4,15.33333333,-1.166666667
-106.13,41.3,2461,4.9,24,7.6,9.5,9.833333333,-4.8
-104.82,41.15,1868,10.9,28.1,12.2,10,12.3,-1.266666667
-104.88,41.18,1906,NA,NA,NA,NA,NA,NA
-107.53,41.03,1940,NA,NA,NA,NA,NA,NA
-106.62,41.18,2254,2.4,27.4,4.5,11.1,12.6,-4.833333333
-106.15,41.08,2763,NA,NA,NA,NA,NA,NA
-105.23,41.45,1915,NA,NA,NA,NA,NA,NA
-105.57,41.3,2199,NA,NA,NA,NA,NA,NA
-105.58,41.32,2196,NA,NA,NA,NA,NA,NA
-105.68,41.32,2215,0.4,26.2,8.4,8.5,10.73333333,-3.933333333
-105.62,41.35,2175,2.1,27,8.1,11.2,11.5,-4.266666667
-104.07,41.18,1540,NA,NA,NA,NA,NA,NA
-104.15,41.17,1579,4.5,30.8,11,13.2,14.36666667,-2.233333333
-106.82,41.45,2070,2,27.5,9.4,9.7,12.36666667,-3.2
